name,new_name,description,filter,scale,formula,comment
UNC_UPI_RxL_BYPASSED.SLOT1,,,,,,
UNC_UPI_RxL_BYPASSED.SLOT2,,,,,,
UNC_UPI_RxL_FLITS.NULL,,,,,,
UNC_UPI_TxL0P_POWER_CYCLES,,,,,,
UNC_UPI_TxL_BYPASSED,,,,,,
UNC_UPI_TxL_FLITS.DATA,,,,,,
UNC_UPI_TxL_FLITS.NULL,,,,,,
UNC_UPI_RxL_FLITS.NON_DATA,,,,,,
UNC_UPI_TxL_FLITS.NON_DATA,,,,,,
UNC_UPI_TxL_FLITS.IDLE,,,,,,
UNC_UPI_TxL_FLITS.ALL_NULL,,,,,,
UNC_UPI_RxL_FLITS.ALL_NULL,,,,,,
UNC_UPI_RxL_FLITS.ALL_DATA,,,,,,
UNC_UPI_TxL_FLITS.ALL_DATA,,,,,,
UNC_UPI_TxL_FLITS.ALL_DATA,UPI_DATA_BANDWIDTH_TX,UPI interconnect send bandwidth for payload,:u0xf,7.11E-06,,
UNC_UPI_DIRECT_ATTEMPTS.D2U,,,,,,
UNC_M2M_BYPASS_M2M_Egress.NOT_TAKEN,,,,,,
UNC_M2M_DIRECT2CORE_NOT_TAKEN_DIRSTATE,,,,,,
UNC_M2M_DIRECT2CORE_TAKEN,,,,,,
UNC_M2M_DIRECT2CORE_TXN_OVERRIDE,,,,,,
UNC_M2M_DIRECTORY_LOOKUP.ANY,,,,,,
UNC_M2M_DIRECTORY_LOOKUP.STATE_I,,,,,,
UNC_M2M_DIRECTORY_LOOKUP.STATE_S,,,,,,
UNC_M2M_DIRECTORY_LOOKUP.STATE_A,,,,,,
UNC_M2M_DIRECTORY_UPDATE.ANY,,,,,,
UNC_M2M_DIRECTORY_UPDATE.I2S,,,,,,
UNC_M2M_DIRECTORY_UPDATE.I2A,,,,,,
UNC_M2M_DIRECTORY_UPDATE.S2I,,,,,,
UNC_M2M_DIRECTORY_UPDATE.S2A,,,,,,
UNC_M2M_DIRECTORY_UPDATE.A2I,,,,,,
UNC_M2M_DIRECTORY_UPDATE.A2S,,,,,,
UNC_M2M_IMC_READS.NORMAL,,,,,,
UNC_M2M_IMC_READS.ALL,,,,,,
UNC_M2M_IMC_WRITES.PARTIAL,,,,,,
UNC_M2M_IMC_WRITES.ALL,,,,,,
UNC_M2M_IMC_WRITES.NI,,,,,,
UNC_M2M_PREFCAM_DEMAND_PROMOTIONS,,,,,,
UNC_M2M_PREFCAM_INSERTS,,,,,,
UNC_M2M_RxC_AD_INSERTS,,,,,,
UNC_M2M_RxC_AD_OCCUPANCY,,,,,,
UNC_M2M_RxC_BL_INSERTS,,,,,,
UNC_M2M_RxC_BL_OCCUPANCY,,,,,,
UNC_M2M_TxC_AD_INSERTS,,,,,,
UNC_M2M_TxC_AD_OCCUPANCY,,,,,,
UNC_M2M_TxC_BL_INSERTS.ALL,,,,,,
UNC_M2M_TxC_BL_OCCUPANCY.ALL,,,,,,
UNC_M2M_DIRECT2UPI_NOT_TAKEN_CREDITS,,,,,,
UNC_M2M_DIRECT2UPI_NOT_TAKEN_DIRSTATE,,,,,,
UNC_M2M_DIRECT2UPI_TAKEN,,,,,,
UNC_M2M_DIRECT2UPI_TXN_OVERRIDE,,,,,,
UNC_M3UPI_UPI_PREFETCH_SPAWN,,,,,,
UNC_M_ACT_COUNT.WR,,,,,,
UNC_M_CAS_COUNT.RD_REG,,,,,,
UNC_M_CAS_COUNT.RD_UNDERFILL,,,,,,
UNC_M_CAS_COUNT.RD,,,,,,
UNC_M_CAS_COUNT.RD,LLC_MISSES.MEM_READ,read requests to memory controller,,64,,
UNC_M_CAS_COUNT.WR_WMM,,,,,,
UNC_M_CAS_COUNT.WR,,,,,,
UNC_M_CAS_COUNT.WR,LLC_MISSES.MEM_WRITE,write requests to memory controller,,64,,
UNC_M_CAS_COUNT.ALL,,,,,,
UNC_M_CLOCKTICKS,,Memory controller clock ticks,,,,
UNC_M_POWER_CHANNEL_PPD,,Cycles where DRAM ranks are in power down (CKE) mode,,,X/UNC_M_CLOCKTICKS,
UNC_M_POWER_SELF_REFRESH,,Cycles Memory is in self refresh power mode,,,X/UNC_M_CLOCKTICKS,
UNC_M_PRE_COUNT.PAGE_MISS,,Pre-charges due to page misses,,,,
UNC_M_PRE_COUNT.RD,,Pre-charge for reads,,,,
UNC_M_RPQ_INSERTS,,,,,,
UNC_M_RPQ_OCCUPANCY,,,,,,
UNC_M_WPQ_INSERTS,,,,,,
UNC_M_WPQ_OCCUPANCY,,,,,,
UNC_H_BYPASS_CHA_IMC.TAKEN,,,,,,
UNC_H_BYPASS_CHA_IMC.INTERMEDIATE,,,,,,
UNC_H_BYPASS_CHA_IMC.NOT_TAKEN,,,,,,
UNC_H_CORE_SNP.EXT_ONE,,,,,,
UNC_H_CORE_SNP.CORE_ONE,,,,,,
UNC_H_CORE_SNP.EVICT_ONE,,,,,,
UNC_H_CORE_SNP.ANY_ONE,,,,,,
UNC_H_CORE_SNP.EXT_GTONE,,,,,,
UNC_H_CORE_SNP.ANY_GTONE,,,,,,
UNC_H_CORE_SNP.EXT_REMOTE,,,,,,
UNC_H_CORE_SNP.CORE_REMOTE,,,,,,
UNC_H_CORE_SNP.EVICT_REMOTE,,,,,,
UNC_H_CORE_SNP.ANY_REMOTE,,,,,,
UNC_H_COUNTER0_OCCUPANCY,,,,,,
UNC_H_HITME_HIT.SHARED_OWNREQ,,,,,,
UNC_H_HITME_HIT.WBMTOE,,,,,,
UNC_H_HITME_HIT.WBMTOI_OR_S,,,,,,
UNC_H_HITME_LOOKUP.READ,,,,,,
UNC_H_HITME_LOOKUP.WRITE,,,,,,
UNC_H_HITME_MISS.SHARED_RDINVOWN,,,,,,
UNC_H_HITME_MISS.NOTSHARED_RDINVOWN,,,,,,
UNC_H_HITME_MISS.READ_OR_INV,,,,,,
UNC_H_HITME_UPDATE.DEALLOCATE_RSPFWDI_LOC,,,,,,
UNC_H_HITME_UPDATE.RSPFWDI_REM,,,,,,
UNC_H_HITME_UPDATE.SHARED,,,,,,
UNC_H_HITME_UPDATE.RDINVOWN,,,,,,
UNC_H_HITME_UPDATE.DEALLOCATE,,,,,,
UNC_H_IMC_READS_COUNT.NORMAL,,,,,,
UNC_H_IMC_READS_COUNT.PRIORITY,,,,,,
UNC_H_IMC_WRITES_COUNT.FULL,,,,,,
UNC_H_IMC_WRITES_COUNT.PARTIAL,,,,,,
UNC_H_IMC_WRITES_COUNT.FULL_PRIORITY,,,,,,
UNC_H_IMC_WRITES_COUNT.PARTIAL_PRIORITY,,,,,,
UNC_H_IMC_WRITES_COUNT.FULL_MIG,,,,,,
UNC_H_IMC_WRITES_COUNT.PARTIAL_MIG,,,,,,
UNC_H_IODC_ALLOC.INVITOM,,,,,,
UNC_H_IODC_ALLOC.IODCFULL,,,,,,
UNC_H_IODC_ALLOC.OSBGATED,,,,,,
UNC_H_IODC_DEALLOC.WBMTOE,,,,,,
UNC_H_IODC_DEALLOC.WBMTOI,,,,,,
UNC_H_IODC_DEALLOC.WBPUSHMTOI,,,,,,
UNC_H_IODC_DEALLOC.SNPOUT,,,,,,
UNC_H_IODC_DEALLOC.ALL,,,,,,
UNC_C_LLC_LOOKUP.WRITE,,,,,,
UNC_C_LLC_LOOKUP.ANY,,,,,,
UNC_C_LLC_LOOKUP.LOCAL,,,,,,
UNC_C_LLC_LOOKUP.REMOTE,,,,,,
UNC_C_LLC_VICTIMS.LOCAL,,,,,,
UNC_C_LLC_VICTIMS.REMOTE,,,,,,
UNC_H_MISC.RSPI_WAS_FSE,,,,,,
UNC_H_MISC.WC_ALIASING,,,,,,
UNC_H_MISC.CV0_PREF_VIC,,,,,,
UNC_H_MISC.CV0_PREF_MISS,,,,,,
UNC_H_OSB,,,,,,
UNC_H_READ_NO_CREDITS.MC0_SMI0,,,,,,
UNC_H_READ_NO_CREDITS.MC1_SMI1,,,,,,
UNC_H_READ_NO_CREDITS.EDC0_SMI2,,,,,,
UNC_H_READ_NO_CREDITS.EDC1_SMI3,,,,,,
UNC_H_READ_NO_CREDITS.EDC2_SMI4,,,,,,
UNC_H_READ_NO_CREDITS.EDC3_SMI5,,,,,,
UNC_H_REQUESTS.READS_REMOTE,,read requests from remote home agent,,,,
UNC_H_REQUESTS.WRITES_REMOTE,,write requests from remote home agent,,,,
UNC_H_SNOOPS_SENT.,,,,,,
UNC_H_SNOOPS_SENT.LOCAL,,,,,,
UNC_H_SNOOPS_SENT.REMOTE,,,,,,
UNC_H_SNOOPS_SENT.BCST_LOC,,,,,,
UNC_H_SNOOPS_SENT.BCST_REM,,,,,,
UNC_H_SNOOPS_SENT.DIRECT_LOC,,,,,,
UNC_H_SNOOPS_SENT.DIRECT_REM,,,,,,
UNC_H_SNOOP_RESP.RSPI,,,,,,
UNC_H_SNOOP_RESP.RSPS,,,,,,
UNC_H_SNOOP_RESP.RSP_WB,,,,,,
UNC_H_SNOOP_RESP.RSPFWD,,,,,,
UNC_H_SNP_RSP_RCV_LOCAL.RSPI,,,,,,
UNC_H_SNP_RSP_RCV_LOCAL.RSPS,,,,,,
UNC_H_SNP_RSP_RCV_LOCAL.RSPIFWD,,,,,,
UNC_H_SNP_RSP_RCV_LOCAL.RSPSFWD,,,,,,
UNC_H_SNP_RSP_RCV_LOCAL.RSP_WB,,,,,,
UNC_H_SNP_RSP_RCV_LOCAL.RSP_FWD_WB,,,,,,
UNC_H_SNP_RSP_RCV_LOCAL.RSPCNFLCT,,,,,,
UNC_H_SNP_RSP_RCV_LOCAL.RSPFWD,,,,,,
UNC_C_TOR_INSERTS.EVICT,,,,,,
UNC_C_TOR_INSERTS.PRQ,,,,,,
UNC_C_TOR_INSERTS.IPQ,,,,,,
